"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","415547.726359048","No"
"0x00fe433fe31a73f7bc6d9842fd8a7b3909110a70","1833.568","No"
"0x01b86caa9e80eb62f5bcb6d1cd916b77e3c91e69","26261.771815746","No"
"0x021ea8ff4555747b6f91213658cb5ce44a258165","176","No"
"0x0288e5dab671baa0602570e35d49ee8c4a8f72f9","361.68","No"
"0x028f242524485a49c1b270f1465366d857c990b0","88","No"
"0x02edc6d6f0bdd39bcd6e9e85e8e0fa3e08ca197f","1320","No"
"0x0305c881a923a9be545ce7c59a150945fde7d8bc","1101.034781292","No"
"0x0363b1bc04365087ef6e1360e35872b60187a013","8.84","No"
"0x0366abff15e1bd139b665ca171c6a28057a415aa","176","No"
"0x036a17fbacf73598787d9fc2b9ea4ce79c566d15","2062.791631279","No"
"0x037226545c7fa95230e8f712cd395acf5779037d","469.222338813","No"
"0x0388bcfd67bcdfb0bbaca3f4158a2966995da8df","158.4","No"
"0x038bfd05ec1a7620c709be5107f1bf4e1336483d","88","No"
"0x03993c75597bfb7c09a9d967e0a620f6f6e062d5","108.706202536","No"
"0x03b26021b5cecb5fb796c54bd0407fc2e67f234b","153.847674838","No"
"0x0470cc75e91101f880637edcadb1edb00c3a5679","23.681965963","No"
"0x04949e09073b7bb49b83aa1ecb9344e0ab62c5ee","107.184","No"
"0x0494b60526ed7f1fc6cb06884fa916ef18d80a3f","189.2","No"
"0x04b5f83f458e2aca23a3a3e3070b1e49a7ef3b31","4609.344996285","No"
"0x04b70e3812e08382a393c50381e4304d1649b352","352","No"
"0x04ca333c703b7278f703d745b3fa7ad9191824be","264","No"
"0x04ff2d5b43d523a3a46c697d011e2361853839ef","2021.861906019","No"
"0x0529045e75f2b17f2de59af016177017e430783c","3501.240661671","No"
"0x0563bc8cd7002cc8e03a287698797d013e007a31","586.08","No"
"0x05770743cfbbde6c424a7f9b58d3c9fa92a16b47","3141.876482177","No"
"0x057b4228256b4f7df536056f22d038b05cd49156","239.2706522","No"
"0x05cb9f7783a3ac9595d396554abdc0ba55bf104b","151.733412505","No"
"0x0624d8f6e930085b6c30e1ffab9d06c3f25663c5","4600.915575592","No"
"0x066fa299bf4dbe85d6b9565d4e9b6329d70e269d","1180.922604633","No"
"0x06dbc99d78f2970274d9396c325b11c18f9d36e1","201.09936","No"
"0x06f3fffe777d69c0575bf51357d2e965f6385d9b","58.96","No"
"0x07109455571ec9bac9fb9cf9ff9922abb1cefdb5","48044.640264796","No"
"0x07217abaf71cf29b24ebda3c469df8481fe368bc","776.017277251","No"
"0x076d256609722b46b6350725527accd67edff248","4904.033970352","No"
"0x07754bf1a49d9f43dac77a71d5882bb0eadfe174","13171.795002949","No"
"0x07eeb070d9eaf6e0df68ec1f020022eb580ff5b0","220.53253688","No"
"0x07fbe784b28dff19bf5758006ad3137bb4a1ffec","633.248","No"
"0x081e6b57cb1dc119548d97273d5d2442bf2dc825","293.888540907","No"
"0x084efe08028a79c417f1d4607e564ae5848452ac","603.381908347","No"
"0x086513078ad4478d65204a047dccbb4902313646","142.856978543","No"
"0x0873f30767dc533cc4d44244928adfa4aebd2aef","88.090245736","No"
"0x090a2ebe040612fa7f8f0a1898e36327b1873d52","268.4","No"
"0x094da7263349811d2fce6381f18b4d1126ce5a5f","31406.188497461","No"
"0x0954dd03a771eb08b4f521ebc35bb8deb1492a2c","3857.04","No"
"0x096256f1057d04ba7fc2d7c6e4b3482ef4dcfe2f","4609.44","No"
"0x09ca4366534c03eafe73a433d614720cfffca910","53.311696536","No"
"0x0a209b27fd67835bbd5aca114fedc6a73c49247f","1052.427603297","No"
"0x0a4921a50feb0c8294312d39768f388cd23eabfb","5925.239750567","No"
"0x0a63c19a18b8404253f74d65dfcbb779c10fdb53","1668.539142206","No"
